Linio SKU;Name;PrimaryCategory;Model;BrowseNodes;Categories;Brand;SaleEndDate;SaleStartDate;SalePrice;Price;ParentSku;Quantity;ProductWarranty;PackageContent;Color;ProductId;ShortDescription;Description;EligibleFreeShipping;DeliveryTimeSupplier;WarehouseProcessingTime;PackageWidth;PackageLength;PackageHeight;PackageWeight;ProductMeasures;ProductWeight;TaxClass;SellerSku;Variation;CareLabel;ManufacturerTxt;MaterialFamily;MainMaterial;CreatedAt;UpdatedAt;Status
TO250EL0680UQLACL-6410130;Mochila Titanio;20056;;;;Totto;;;;40990.00;5999876;0;;;;7704789842457;;1234567890;;2;;10;20;30;0.37;;;IVA 19%;5999876;…;;;;;2019-02-13 17:49:41;2019-10-15 08:55:49;inactive
GE657EL0C6CWILACL-6410132;Bastón Selfie + Micrófono;20056;;;;GENERIC;;;;9990.00;6537797;0;;;;2805201800033;;1234567890;;2;;20;20;40;2;;;IVA 19%;6537797;…;;;;;2019-02-13 17:49:41;2019-10-15 09:33:20;inactive
GE657EL0I4OYALACL-6410131;Audífonos Hi-Fi H6 Piel Negra;20056;;;;GENERIC;;;;349990.00;5923053;0;;;;2005923053001;;1234567890;;2;;25;33;50;0.15;;;IVA 19%;5923053;…;;;;;2019-02-13 17:49:41;2019-10-15 09:46:17;inactive
SA028EL0U1D1ULACL-6410134;Gear 360º 2017;20056;;;;Samsung;;;;69900.00;5768997;0;;;;8806088728346;;1234567890;;2;;15;15;15;0.3;;;IVA 19%;5768997;…;;;;;2019-02-13 17:49:41;2019-10-15 08:48:11;inactive
CA332EL0ZZP3MLACL-6410135;Calculadora Escritorio;20056;;;;Casio;;;;8900.00;6231071;0;;;;4971850301561;;1234567890;;2;;15;15;15;0.3;;;IVA 19%;6231071;…;;;;;2019-02-13 17:49:41;2019-10-15 09:04:12;inactive
2K500EL15Y15ELACL-6410136;Juego de PS4 WWE 2K18 Standard Edition;20056;;;;2K Games;;;;29990.00;6050397;0;;;;710425570018;;<ul><li>Modelo:WWE 2K18</li><li>Tipo:Videojuegos</li><li>Plataforma:PS4</li><li>Número de jugadores:2</li><li>Idioma:Inglés</li></ul>;;2;;8;28;40;0.2;;;IVA 19%;6050397;...;;;;;2019-02-13 17:49:41;2019-10-15 08:48:17;inactive
KA516EL00V4EQLACL-6410138;Security Cloud Family Edición Latina - 20 Dispositivos - 3 Años;20056;;;;KASPERSKY;;;;368990.00;6884942;0;;;;2006884942007;<ul><li>Tipo:Antivirus y seguridad</li><li>Compatible con:Microsoft Windows</li><li>Formato:Código de activación</li><li>Modelo:KSCF LATAM 20Dvc 5Account KPM 1Account KSK 3Y Bs DnP</li><li>Número máximo de usuarios:5</li><li>Número máximo de dispositivos:10 o más</li><li>Actualizaciones incluidas:Sí</li></ul>;<ul><li>Tipo:Antivirus y seguridad</li><li>Compatible con:Microsoft Windows</li><li>Formato:Código de activación</li><li>Modelo:KSCF LATAM 20Dvc 5Account KPM 1Account KSK 3Y Bs DnP</li><li>Número máximo de usuarios:5</li><li>Número máximo de dispositivos:10 o más</li><li>Actualizaciones incluidas:Sí</li></ul>;;2;;8;28;40;0.1;;;IVA 19%;6884942;...;;;;;2019-02-13 17:49:41;2019-10-15 09:15:26;inactive
GE018EL1HUP8YLACL-6410139;NE-HC 88C Soporte P/Celular;20056;;;;Generico;;;;8990.00;5437935;0;;;;6907875720047;<ul><li>Modelo:NE-HC88C</li><li>Tipo:Otros accesorios</li><li>Material:Plástico</li><li>Conexión:No aplica</li><li>Contenido:Unitario</li><li>Garantía del proveedor:6 meses</li></ul>;<ul><li>Modelo:NE-HC88C</li><li>Tipo:Otros accesorios</li><li>Material:Plástico</li><li>Conexión:No aplica</li><li>Contenido:Unitario</li><li>Garantía del proveedor:6 meses</li></ul>;;2;;15;15;15;0.3;;;IVA 19%;5437935;...;;;;;2019-02-13 17:49:41;2019-10-15 08:50:17;inactive
LE207EL1J68O2LACL-6390212;"Notebook Lenovo Ideapad 320 AMD A12 Windows 10 RAM 16 GB 15.6""";20056;6109171;;;Lenovo;2019-12-31 00:00:00;2018-10-26 00:00:00;339990.00;439990.00;6109171;0;12 meses;TRADICIONAL NOTEBOOK;;191376402281;<ul> <li>Procesador: AMD A12</li> <li>Modelo del procesador: A12</li> <li>Memoria RAM: 16GB</li> <li>Capacidad de la tarjeta de video: 2GB</li> <li>Tipo de pantalla: LED</li> <li>Resolución de la pantalla: HD</li> <li>TV: AMD Radeon 520M</li> <li>Sistema de audio: Dolby Audio</li> <li>Tamaño de la pantalla: 15.6 pulgadas</li> <li>Disco duro HDD: 1TB</li> <li>Núcleos del procesador: Quad Core</li> <li>Velocidad del procesador: 2,7 GHz</li> </ul>;"<h2>Notebook Lenovo Ideapad 320 AMD A12 Windows 10 RAM 16 GB 15.6""</h2> <p>Si lo tuyo es la tecnolog&iacute;a, con la nueva <strong>Notebook Lenovo Ideapad 320</strong>, tendr&aacute;s en tus manos un computador de excelente calidad que combina a la perfecci&oacute;n dise&ntilde;o con un&nbsp;<strong>incre&iacute;ble rendimiento</strong>. Vive una gran experiencia multimedia con todas las caracter&iacute;sticas que te ofrece. No pierdas la oportunidad de llevar un Notebook que se convertir&aacute; en tu <strong>compa&ntilde;ero ideal</strong>.</p> <p>Su r&aacute;pida interfaz te permite compartir cosas con tus amigos al instante. Busca en las aplicaciones, en los documentos y en Internet de una forma r&aacute;pida y sencilla. Con&nbsp;<strong>Windows 10</strong>&nbsp;puedes realizar cualquier tarea habitual desde los bordes y esquinas hasta tareas mucho m&aacute;s complejas pero con f&aacute;cil acceso. El <strong>dise&ntilde;o</strong> de la <strong>Notebook Lenovo Ideapad 320</strong>&nbsp;es ideal para tu entretenimiento, ya que puedes ver una pel&iacute;cula, enterarte de las noticias m&aacute;s recientes y procesar r&aacute;pidamente tu lista de tareas pendientes. Puedes pasar de un juego en pantalla completa a un correo electr&oacute;nico con solo tocar y arrastrar el dedo, o ver las dos cosas en paralelo.</p>";;2;;11.5;17.5;30;4.7;;;IVA 19%;6109171;…;;;;;2019-02-13 17:49:41;2019-10-15 08:37:01;inactive
DD456EL0CMDZ8LACL-6381615;Lentes de Realidad Virtual Ddesing-Negro;20056;COMVR GLASS+REM;;;Ddesing;;;;7990.00;880711732;0;3 meses;"Accesorios de telefon&iacute;a";Negro;2998807117329;<ul><li>Marca: Ddesign</li><li>Material: Poliuretano</li><li>Garantía del proveedor: 3 meses</li><li>Modelo: COMVR GLASS+REM</li><li>Tipo: Lentes de realidad virtual</li><li>Conexión: Bluetooth</li><li>Compatibilidad: Smartphone 3.5 - 6.0 pulgadas</li></ul>;"<h2>CARACTER&iacute;STICAS DEL PRODUCTO</h2> <ul> <li>Marca: Ddesign</li> <li>Modelo: COMVR GLASS+REM</li> <li>Tipo: Lentes de realidad virtual</li> Dimensiones <li>Ancho: 14 cm</li> Garant&iacute;a <li>3 meses</li> Informaci&oacute;</ul>";;2;;33;13;20;0.5;;;IVA 19%;880711732;…;;;;;2019-02-13 17:49:41;2019-10-15 09:31:54;inactive
